PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Group_Size,Is_Alone,Ticket_Type,Cabin_Deck,Lifeboat_Assigned,Satisfaction_Score,Baggage_Weight_kg,CheckIn_Duration_min,Pre_Board_Rating,Medical_Condition,Travel_Insurance,Booking_Lead_Time_Days,Meal_Preference,Port_Distance_km,Companion_Count,Room_Service_Spend,Bar_Spend,Spa_Spend,Entertainment_Spend,Total_Onboard_Spend,Customer_Feedback_Len,Is_Repeat_Passenger,Loyalty_Program_Tier,Emergency_Drill_Attended,Cabin_Number,Staff_Assigned_ID,Survey_Completion_Time_sec
1001,0,2,female,18.60310139477709,0,1,512.3292,S,2,0,Standard,nan,nan,2.0,46.85769344472911,20.631000435945705,Good,None,0,86,Halal,65.0111968756712,1,0.0,49.4088645113407,51.536117479181975,139.94349382923411,240.8884758197568,288,0,Platinum,1,D91,103,343.2948537070592
1002,0,3,male,76.59293658254718,0,0,1.3490165584522624,nan,1,1,Premium,B,nan,2.0,42.99119160826183,13.631519518838079,Average,None,1,50,Vegetarian,33.12034563210343,0,0.0,52.12926734068063,33.87010076225381,87.97676715561731,173.97613525855175,212,1,Bronze,1,A78,104,282.7636504730723
1003,0,3,male,25.96249512700814,1,0,0.8407911046960188,S,2,0,Discounted,E,nan,,35.41314859089514,17.435822201100958,Excellent,None,0,102,Jain,59.17674720429553,1,0.0,92.81651362026824,30.321944435260107,78.91237776261045,202.0508358181388,257,0,Gold,0,B53,101,310.24968476541824
1004,0,3,male,16.061917931352,0,0,12.512618471726489,S,1,1,VIP,D,nan,2.0,11.260213200098939,18.287622067425552,Good,Chronic,1,37,Standard,40.23326052442183,0,0.0,0.0,15.414559708203257,113.89662827253079,129.31118798073405,17,1,Platinum,1,B65,102,326.4470959405306
1005,0,1,male,13.610145069373303,0,1,35.3027111108282,C,2,0,Standard,nan,nan,,16.4404122686913,17.20710749745463,Average,None,0,109,Jain,12.183293047871981,1,91.27846538667555,0.0,25.870271926984795,106.89984284798167,224.048580161642,174,0,Gold,1,C98,101,265.67985370421195
1006,0,1,male,14.488324388847388,0,1,109.6615971637321,Q,2,0,Discounted,nan,nan,3.0,44.39800519486773,10.675246741845868,Average,None,0,64,Standard,11.696852590404523,1,105.82854321454296,0.0,11.03962320041143,28.97400126126491,145.8421676762193,416,0,Silver,0,B39,104,419.44056103139997
1007,0,1,female,16.234602740927116,0,1,5.745144516605317,nan,2,0,Discounted,D,nan,2.0,13.22632564956052,13.177254267324882,Poor,Chronic,0,115,Halal,17.57669529290979,1,16.71407818010513,0.0,19.456693474228782,70.69624118611817,106.86701284045208,228,0,Silver,0,C79,105,334.6548108199153
1008,0,3,male,14.62747312431441,0,0,3.976984004885621,C,1,1,Premium,nan,nan,1.0,17.529773371269556,7.692219113745922,Poor,None,0,54,Standard,120.84520917261321,0,0.0,0.0,47.26023050892292,70.87731642293778,118.1375469318607,225,0,None,0,B64,105,378.17912992301524
1009,1,3,female,15.097376181818706,0,1,8.14194690120052,S,2,0,Discounted,C,L3,2.0,10.832029303794888,17.4589816579404,Poor,Critical,1,72,Standard,39.63896677466672,1,0.0,0.0,119.28340473719545,56.73367728650172,176.01708202369718,83,0,Silver,1,C22,103,364.26143678164607
1010,0,3,female,17.0340877232317,1,0,16.423022000048867,S,2,0,Premium,nan,nan,5.0,35.4248704136485,23.51027577007963,Average,None,1,105,Standard,66.19516539494457,1,0.0,0.0,80.86390798799582,77.59402232283797,158.45793031083377,290,0,Gold,1,C35,104,319.63735615700466
