Timestamp,Sensor_01_Reading,Sensor_02_Reading,Sensor_03_Reading,Sensor_04_Reading,Sensor_05_Reading,Sensor_06_Reading,Sensor_07_Reading,Sensor_08_Reading,Sensor_09_Reading,Sensor_10_Reading,Sensor_11_Reading,Sensor_12_Reading,Sensor_13_Reading,Sensor_14_Reading,Sensor_15_Reading,Sensor_16_Reading,Sensor_17_Reading,Sensor_18_Reading,Sensor_19_Reading,Sensor_20_Reading,Sensor_21_Reading,Sensor_22_Reading,Sensor_23_Reading,Sensor_24_Reading,Sensor_25_Reading,Sensor_26_Reading,Sensor_27_Reading,Sensor_28_Reading,Sensor_29_Reading,Sensor_30_Reading,Sensor_31_Reading,Sensor_32_Reading,Sensor_33_Reading,Sensor_34_Reading,Sensor_35_Reading,Sensor_36_Reading,Sensor_37_Reading,Sensor_38_Reading,Sensor_39_Reading,Sensor_40_Reading,Sensor_41_Reading,Sensor_42_Reading,Sensor_43_Reading,Sensor_44_Reading,Sensor_45_Reading,Sensor_46_Reading,Sensor_47_Reading,Sensor_48_Reading,Sensor_49_Reading,Sensor_50_Reading,System_Load_Percent,Equipment_Failure_Event
2026-01-01 00:00:00,26.346,31.2124,33.1415,30.1478,32.6182,33.6583,32.3823,32.7831,29.4507,27.2876,29.4375,26.8926,32.2157,31.5581,27.5196,32.3973,31.702,32.4275,31.5528,29.389,30.2404,32.5456,33.4501,34.9422,33.8222,29.6826,33.7886,29.9832,28.7936,30.1698,32.3865,27.6034,32.7887,30.3951,24.7606,28.0622,33.1784,28.8016,32.1036,30.1658,28.6941,32.7388,27.3935,31.9845,31.3161,32.1096,30.4049,27.5707,34.6881,31.1204,52.83,0
2026-01-01 01:00:00,28.0302,32.2119,32.3561,31.4202,32.3871,32.747,32.9134,33.3539,29.0543,28.1703,26.0044,29.2182,33.1169,32.9675,31.2301,31.8947,33.7921,27.8194,31.9899,34.0151,30.666,32.8026,32.8201,32.434,33.6149,29.8419,33.8529,31.4719,32.2409,31.8389,30.2935,29.3726,34.4091,29.7566,24.4655,32.0947,31.8102,32.3433,30.7262,31.853,29.637,33.8051,30.2155,29.0822,32.0377,34.7822,32.5351,30.948,33.3577,33.3258,56.0,0
2026-01-01 02:00:00,30.242,33.481,33.2245,32.9522,33.4491,31.4855,32.9128,33.1431,26.8428,29.9174,24.2465,30.6452,29.8646,33.0749,30.9318,34.4576,33.0719,27.0839,30.3745,33.0851,32.7534,33.3255,32.4311,32.8271,31.9326,34.5375,30.5299,33.0893,33.7706,30.4994,32.0662,30.4915,34.2849,33.5543,22.4785,31.0113,34.7541,28.3399,25.4555,31.0868,34.285,31.432,31.7658,32.0266,25.7517,34.5884,32.4153,31.7922,28.8641,34.2097,57.52,0
2026-01-01 03:00:00,32.1659,33.1964,32.8649,32.5193,31.6584,31.2158,33.13,32.2518,25.1097,31.3708,20.709,32.9947,27.8355,30.6393,31.9826,32.9806,33.5784,25.6011,27.6476,30.5981,34.1018,32.9026,32.0471,31.6636,32.2215,32.1722,31.3973,32.5903,32.9587,30.351,29.0099,31.9599,33.4439,31.9111,19.4951,32.6344,31.2271,26.3157,26.1001,31.6765,31.6129,29.3914,35.3157,32.7428,26.1688,33.4046,33.9056,32.8753,29.9889,29.9452,67.47,0
2026-01-01 04:00:00,32.2866,32.4507,30.1356,33.3826,32.4824,29.6072,31.9939,30.6765,22.2817,33.4111,21.7741,33.7752,25.8861,31.6767,31.402,32.8671,30.8265,25.081,25.3711,33.8292,32.6133,31.9903,30.5115,27.7676,31.9762,32.1666,29.1762,31.6858,33.0087,26.7155,31.4132,33.773,33.3237,31.4839,17.0687,31.6448,30.7694,24.7259,23.4739,30.0169,31.1644,26.0347,32.1444,31.8926,26.8446,30.8785,30.9288,33.9569,31.4386,28.5009,75.25,0
2026-01-01 05:00:00,32.8162,31.9176,28.6182,33.0283,30.4014,28.873,30.2824,27.5633,19.4538,33.6215,18.1938,32.099,25.1756,28.6742,32.2835,32.4259,30.6554,22.4,25.5127,31.3973,32.4798,31.247,27.1019,27.3747,28.5388,31.8065,26.4741,29.9594,31.6274,24.2072,25.4354,33.0453,29.6525,34.1489,16.9258,31.9863,27.8292,19.5349,23.9177,33.2097,30.7373,25.582,32.6836,33.9829,22.8577,29.1173,32.9254,30.5667,28.9594,28.6815,69.25,0
2026-01-01 06:00:00,33.7479,30.6111,27.7883,31.3313,29.4646,26.1075,28.6095,26.62,18.8193,30.3412,18.0514,32.7079,21.0861,27.1758,33.1189,30.4284,30.5067,18.6004,22.5299,30.7095,31.4495,27.8707,26.6262,26.7392,27.6405,32.1325,23.6328,30.3026,32.4653,23.2568,24.0514,32.6183,28.626,30.3769,17.0243,32.4541,27.0485,20.5077,19.1638,32.4716,32.5547,22.1784,33.1829,32.9397,18.8192,28.0366,29.4288,34.3909,26.8951,26.8974,78.34,0
2026-01-01 07:00:00,32.7744,27.9177,25.3059,30.1632,27.2367,23.7224,26.2583,25.2187,18.2012,31.9255,17.0848,32.7547,19.9036,25.7365,30.8399,29.1979,26.4092,18.469,19.1752,32.0076,29.4921,27.8441,25.8904,23.0237,26.7002,31.0421,21.7572,29.2555,31.6994,21.7975,21.4734,32.6631,28.1915,29.7325,18.2993,30.6394,21.1261,17.2958,18.5549,30.7112,28.6574,19.8111,30.7108,30.1541,18.5338,26.189,28.4389,33.4441,26.267,23.6988,79.52,1
2026-01-01 08:00:00,31.0772,27.2686,23.3879,28.3427,26.1205,22.1102,25.3754,22.8203,17.8969,30.834,16.9643,30.2542,20.0331,23.1887,28.0046,25.6876,24.7484,18.1876,17.7129,29.3676,28.5491,23.0252,21.5176,21.5617,22.2123,27.9024,22.4013,26.7985,27.8282,18.1139,19.5802,30.0714,25.4019,28.2255,18.3413,26.9648,20.8654,17.0696,18.8244,29.4699,25.8917,21.8318,28.9701,27.0858,18.7601,22.4781,24.9981,29.3313,22.0645,22.8296,72.03,0
2026-01-01 09:00:00,30.1188,24.4034,21.3262,25.6322,22.7246,19.7176,21.2589,20.7656,16.2234,28.4157,18.0389,28.2029,17.9839,22.3376,27.8436,24.2867,22.5897,18.9895,17.43,27.6475,25.2755,23.108,19.9916,18.9531,22.0468,26.6793,19.1434,22.6157,25.4228,19.8406,17.2702,30.9551,23.8525,27.1843,19.8086,26.3534,19.3262,17.6506,17.5644,29.0249,24.5755,17.7967,27.0148,27.5895,16.2531,20.7003,25.1331,24.1016,21.7362,17.8637,71.33,0
